Time(ps),RoQ(intensity_data)
465118.3553075996,10.709913600222
1801690.2413970027,10.99510639895034
3138238.8535826695,10.707409065744963
4474804.094140337,10.9964037448184
5811359.413504582,10.707093312383053
7147917.910102545,10.995685190453338
8484479.985205546,10.70897121106056
9821031.739331448,10.992960989331518
11157600.518643253,10.713013799028179
12494145.631678313,10.988245868069994
13830720.964342289,10.719158779696064
15167259.636059277,10.98126274910875
16503841.27412714,10.727408856262103
17840373.79973063,10.972366372083146
19176961.401835937,10.737584958740829
20513488.16758869,10.961709043586152
21850081.30400438,10.749374212767385
23186602.781504616,10.9495095030471
24523200.94050966,10.76238878773357
25859717.679704096,10.935856100887667
27196320.27516493,10.776557362344414
28532832.896200985,10.920928261268896
29869439.27625542,10.791619789378466
31205948.460293386,10.904824193695497
32542557.917008325,10.80781629098174
33879064.39612956,10.887834608938917
35215676.17598943,10.824868251707002
36552180.7223502,10.870244015249522
37888794.03742068,10.842567077689292
39225297.45181221,10.852729859472038
40561911.49141399,10.860034679622247
41898414.59139824,10.835136035315584
43235028.534117654,10.877655400086764
44571532.14191473,10.817561155171175
45908145.167773485,10.895030884018995
47244650.098079965,10.80093385527631
48581261.40068357,10.911701567534376
49917768.448602274,10.785201821676631
51254377.24708725,10.927311884252589
52590887.17634738,10.770561835275554
53927492.726950206,10.94173854515459
55264006.258592255,10.75677188603047
56600607.86566862,10.954799361017232
57937125.66736172,10.74432118692381
59273722.69369292,10.966361181877735
60610245.36984297,10.733104766107875
61946837.24607666,10.976313518495079
63283365.328871675,10.72370992190738
64619951.561957136,10.984423395235618
65956485.50348263,10.71633749711429
67293065.6839756,10.990468181566097
68629605.84951666,10.711062401512876
69966179.65764554,10.994342871572272
71302726.32027483,10.707919760924621
72639293.53067817,10.996231074455311
73975846.86721037,10.706958024204114
75312407.35227579,10.996105840860254
76648967.44064786,10.708192026659766
77985521.17240275,10.993968957759776
79322087.99051929,10.71160273386872
80658635.04104516,10.98985092583586
81995208.46710575,10.71713757032754
83331749.00747034,10.983520896835735
84668328.82177413,10.724772119840257
86004863.11949693,10.975175405753989
87341449.00769758,10.734401542657967
88677977.42278637,10.965003748695333
90014568.9805493,10.745825277244386
91351091.96016647,10.953256688819454
92687688.6991593,10.758413800283652
94024206.77099684,10.940019634399992
95360808.12612426,10.772320499939507
96697321.89058574,10.925437295504441
98033927.22836185,10.787089944220227
99370437.34966703,10.90967647848304
100707045.97760066,10.802963897268453
102043553.17394477,10.89290951277983
103380164.35079923,10.819719902338655
104716669.38371247,10.875462686967456
106053282.3304873,10.837339368715435
107389785.99355233,10.85786871209627
108726399.90502472,10.854899218769253
110062903.01211928,10.840361960802102
111399517.0687739,10.872449875221326
112736020.44201273,10.822691302836446
114072633.82218325,10.889984438005065
115409138.27973804,10.805761690082061
116745750.17178065,10.906880750588954
118082256.51575834,10.789698926203009
119418866.13007668,10.922842283688984
120755375.13463573,10.774757755596308
122091981.71537924,10.93762658594237
123428494.11526012,10.760697141000527
124765096.95152237,10.951106305749764
126101613.43116191,10.747860296576727
127438211.86751312,10.963114146664337
128774733.05090418,10.73622279827349
130111326.49710174,10.973570849983947
131447852.93854845,10.726275784360878
132784440.87828171,10.982236061809319
134120973.05418707,10.718284458266579
135457555.05272684,10.988957355747157
136794093.35453457,10.712396002373255
138130669.0651738,10.9934072085101
139467213.79356888,10.708619454874759
140803782.96275938,10.995883933448193
142140334.32321328,10.707013020618021
143476896.79432213,10.996352175450797
144813454.8940485,10.707601477079448
146150010.60967872,10.994805253028233
147486575.45604512,10.710375746662868
148823124.45888594,10.991265242886598
150159695.95930457,10.715293053478765
151496238.3914991,10.98561045668894
152832816.35479856,10.722304317013178
154169352.45583773,10.97782619358157
155505936.59509537,10.731374259840916
156842466.69826984,10.968177821956022
158179056.63506266,10.742292300767737
159515581.16252485,10.956874271576744
160852176.43253607,10.754558155640872
162188695.88904575,10.944058857125
163525295.94894388,10.768139851857702
164861810.9143899,10.929851260796
166198415.14987862,10.782639380234116
167534926.27068746,10.914452435769146
168871534.0056066,10.7981715142156
170208041.9851653,10.897919720245447
171544652.49150863,10.814693212410798
172881158.07974362,10.880648287283607
174217770.58844477,10.832123851702152
175554274.57071128,10.862997625817306
176890888.28303772,10.84975762486438
178227391.46848434,10.845536744956794
179564005.56787118,10.8672151211308
180900508.77745184,10.827859358033
182237122.4415997,10.884875982645193
183573626.49591076,10.810645898359775
184910238.90896848,10.901987138187632
186246744.6160912,10.794286502817108
187583354.9807433,10.918280879279402
188919863.12427145,10.779049089619397
190256470.67355078,10.933399892621022
191592982.00098154,10.764738732276667
192929586.00963223,10.947286332761283
194266101.2212914,10.75148568632302
195602701.01651403,10.959744036100401
196939220.75518033,10.739494546635568
198275815.72659987,10.970671926724181
199612340.5679818,10.729008579301103
200948930.1766906,10.979881731206483
202285460.62089705,10.720406987023313
203622044.40743908,10.987198023459188
204958580.8715699,10.713912621974467
206295158.4627478,10.992300567248847
207631701.2747142,10.709507212339327
208968272.38911858,10.995362750984064
210304821.78278497,10.70725822808624
211641386.23496342,10.99642388968379
212977942.34668258,10.707200351769771
214314500.04988742,10.995468840719884
215651062.91648036,10.7093344762162
216987613.8839538,10.992511232608223
218324183.44216418,10.71362768910224
219660727.78694218,10.987528842853584
220997303.87437353,10.720013840808011
